ImageNumber,Count_Nuclei,FileName_Dna,FileName_Overlay,ImageQuality_PowerLogLogSlope_Dna,Mean_Nuclei_AreaShape_Area,Mean_Nuclei_Intensity_IntegratedIntensity_Dna,Mean_Nuclei_Intensity_MaxIntensity_Dna,Mean_Nuclei_Intensity_MeanIntensity_Dna,Metadata_gene,Metadata_plate,Metadata_posNum,Metadata_rootPath,Metadata_siRNA,Metadata_timeNum,Metadata_wellNum,PathName_Dna,PathName_Overlay,Metadata_gene_siRNA,Metadata_batch_treatment,HTM_qc,HTM_norm__log2__Count_Nuclei,HTM_norm__log2__subtract_mean_ctrl__Count_Nuclei,HTM_norm__log2__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM_norm__log2__subtract_mean_ctrl__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM__subtract_mean_ctrl__length,HTM__subtract_mean_ctrl__cosine,HTM__subtract_mean_ctrl__projection
20,105,EMBO_2012_Group1--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.png,-0.918256534,483.7047619,9.138877938,0.04320963,0.018601199,PLK1,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s449,90,81,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00081--s449--PLK1/P00001--s449--PLK1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,PLK1_s449,EMBO_2012_Group1__PLK1_s449,TRUE,6.714245518,-1.615106461,-4.532503314,1.009510799,1.904647194,0.999796165,NA
21,190,EMBO_2012_Group1--empty--empty--W0075--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0075--P001--T00090--Z000--C01.ome.png,-1.479049052,568.3421053,7.20290948,0.017608187,0.011971642,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,75,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00075--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,7.569855608,-0.75949637,-5.827609812,-0.285595699,0.811418289,0.743841321,NA
22,417,EMBO_2012_Group1--empty--empty--W0073--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0073--P001--T00090--Z000--C01.ome.png,-1.274904307,549.5395683,6.918863857,0.01834349,0.012209048,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,73,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00073--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.703903573,0.374551595,-5.768588055,-0.226573942,0.437749527,0.064860574,NA
23,265,EMBO_2012_Group1--empty--empty--W0076--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0076--P001--T00090--Z000--C01.ome.png,-1.353381939,563.3811321,6.990921524,0.017674039,0.012070184,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,76,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00076--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.049848549,-0.279503429,-5.822224381,-0.280210268,0.395777666,0.953843417,NA
24,376,EMBO_2012_Group1--empty--empty--W0074--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0074--P001--T00090--Z000--C01.ome.png,-1.34864237,557.8218085,6.777209458,0.017015845,0.011565398,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,74,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00074--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.554588852,0.225236873,-5.876977375,-0.334963262,0.403648406,0.479158626,NA
25,306,EMBO_2012_Group1--empty--empty--W0062--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0062--P001--T00090--Z000--C01.ome.png,-1.347928092,587.7026144,7.221219484,0.017853107,0.011903484,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,62,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00062--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.257387843,-0.071964136,-5.807680993,-0.26566688,0.275241218,0.977063646,NA
26,354,EMBO_2012_Group1--empty--empty--W0064--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0064--P001--T00090--Z000--C01.ome.png,-1.349814986,561.9124294,7.435289744,0.018700939,0.012882225,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,64,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00064--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.46760555,0.138253572,-5.740745469,-0.198731356,0.242091309,0.465192062,NA
27,481,EMBO_2012_Group1--empty--empty--W0061--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0061--P001--T00090--Z000--C01.ome.png,-1.229016208,554.014553,7.257751784,0.019008861,0.012618501,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,61,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00061--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.909893084,0.580541105,-5.717184137,-0.175170024,0.606393034,-0.185003123,NA
28,325,EMBO_2012_Group1--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.png,-1.363296744,628.5261538,7.81758598,0.017603656,0.011846565,CIT,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s21911,90,63,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00063--s21911--CIT/P00001--s21911--CIT,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,CIT_s21911,EMBO_2012_Group1__CIT_s21911,TRUE,8.344295908,0.014943929,-5.827981138,-0.285967025,0.286357225,0.241789384,NA
29,425,EMBO_2012_Group1--empty--empty--W0026--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0026--P001--T00090--Z000--C01.ome.png,-1.320421341,544.5435294,7.29261906,0.019081888,0.012737714,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,26,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00026--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.731319031,0.401967052,-5.711652296,-0.169638183,0.436296487,-0.079694975,NA
